,date,likes,comments_num,posts_num,Adj Close,Volume,comments_lm_pos,comments_lm_neg,comments_lm_pol,comments_lm_subj,comments_hiv4_pos,comments_hiv4_neg,comments_hiv4_pol,comments_hiv4_subj,comments_vader_neg,comments_vader_compound,comments_vader_pos,comments_vader_neu,emojs,emojs_count,emoj_avg,emoj_sum
343,2021-06-21,91,1298,64,200.369995,5120200.0,5663,15391,-0.4620499667302151,0.0845223088469231,46758,35791,0.1328544258545487,0.3313969826638482,0.147,1.0,0.159,0.694,"['💎', '🙌', '💎', '🙌', '🚀', '🚀', '🚀', '🚀', '🚀']",9.0,1.0,9.0
344,2021-06-22,118,8106,116,220.399994,8200200.0,5664,15561,-0.4662897526282077,0.083823372601965,47210,36569,0.1270127358869524,0.3308663525663148,0.147,1.0,0.162,0.691,"['📷', '📷']",2.0,0.0,0.0
345,2021-06-23,78,4504,77,219.339996,3555100.0,5581,15310,-0.4657029342556267,0.0847680453153197,46306,35553,0.1313600214987801,0.33215391419591,0.145,1.0,0.161,0.694,0,0.0,0.0,0.0
346,2021-06-24,48,882,48,212.309998,3863300.0,5847,15822,-0.4603350408205116,0.0838492732982345,48179,37002,0.1312147075036544,0.3296121163328679,0.14,1.0,0.168,0.692,0,0.0,0.0,0.0
347,2021-06-25,64,2058,64,209.509995,12692700.0,5448,15385,-0.4769836317152122,0.0845416215203753,46210,35885,0.1257689262424536,0.3331466624449294,0.146,1.0,0.162,0.692,"['🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀']",22.0,1.0,22.0
348,2021-06-26,34,265,34,209.509995,12692700.0,5562,15488,-0.471543942970473,0.0841804701305929,46738,36118,0.1281741817113042,0.3313471274651027,0.147,1.0,0.161,0.692,"['💎', '💎', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀']",21.0,1.0,21.0
349,2021-06-27,34,2795,34,209.509995,12692700.0,5624,15526,-0.4681796690085967,0.0839778917773772,47316,36386,0.1305823038860411,0.3323459809716327,0.146,1.0,0.163,0.691,['🚀'],1.0,1.0,1.0
350,2021-06-28,55,477,55,213.25,4879400.0,5596,15730,-0.4751945981208292,0.0842708395073033,47102,36530,0.1264109431781326,0.3304763598271966,0.142,1.0,0.166,0.692,"['💎', '🙌', '🚀', '💎', '🙌', '🚀']",6.0,1.0,6.0
351,2021-06-29,51,329,51,210.880005,2480000.0,5474,15229,-0.4711877505447912,0.0844303611624236,45976,35509,0.1284530895241031,0.3323097125691971,0.143,1.0,0.164,0.694,"['💎', '🙌', '🙌', '💎', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🚀', '🌝', '🚀', '🚀', '🚀']",39.0,1.0,39.0
352,2021-06-30,41,442,42,214.139999,2539600.0,5527,15327,-0.4699338256224257,0.0844695036491746,46285,35919,0.1261009196617427,0.3329687867064712,0.146,1.0,0.162,0.692,"['🙌', '💎', '💎', '🐒', '🐒', '💎']",6.0,0.3333333333333333,2.0
353,2021-07-01,58,1133,56,204.360001,2742100.0,5631,15465,-0.4661547212520783,0.0837205979812616,47104,36422,0.1278883221975446,0.3314773732927027,0.149,0.9999,0.159,0.692,['😊'],1.0,1.0,1.0
354,2021-07-02,60,718,59,202.830002,2599100.0,6175,16117,-0.4459895926589812,0.0832595680150471,51070,37783,0.14953912642061,0.3318617619253985,0.134,1.0,0.176,0.69,0,0.0,0.0,0.0
355,2021-07-03,23,124,23,202.830002,2599100.0,5478,15319,-0.4731932490035489,0.0841353642005617,46048,35910,0.1236975035978953,0.3315654267033535,0.148,1.0,0.159,0.693,0,0.0,0.0,0.0
